Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Month,Year,
West,263,162,101,39,141,72,11,111,152,0,0,61,90,32,143,April,2021,
Dublin,4401,2538,1863,582,2647,1105,67,2118,2330,69,0,1284,1830,738,2769,April,2019,
Mid-East,303,189,114,33,185,76,9,183,113,3,4,59,88,30,144,April,2019,
Midlands,122,62,60,29,62,29,2,83,39,0,0,30,45,15,79,April,2019,
Mid-West,331,219,112,54,181,89,7,117,176,38,0,75,100,50,139,April,2019,
North-East,178,113,65,26,98,41,13,108,69,1,0,18,27,9,42,April,2019,
North-West,48,33,15,7,28,11,2,16,20,11,1,8,13,3,22,April,2019,
South-East,304,206,98,58,161,77,8,98,186,3,17,38,53,23,67,April,2019,
South-West,556,320,236,74,343,125,14,339,222,0,0,137,190,84,314,April,2019,
West,341,204,137,40,191,98,12,206,129,0,7,80,109,51,218,April,2019,
Dublin,4054,2654,1400,500,2357,1136,61,2196,1914,26,0,688,1025,351,1659,May,2021,
Mid-East,327,223,104,53,172,91,11,197,127,3,0,49,68,30,110,May,2021,
Midlands,80,51,29,20,44,15,1,54,10,16,0,13,14,12,24,May,2021,
Mid-West,286,198,88,35,173,73,5,51,202,33,0,32,38,26,47,May,2021,
North-East,91,67,24,13,46,22,10,22,50,19,0,8,10,6,19,May,2021,
North-West,83,55,28,17,44,21,1,38,29,13,3,9,10,8,17,May,2021,
South-East,178,132,46,33,98,41,6,40,138,0,0,16,23,9,31,May,2021,
South-West,495,348,147,65,279,135,16,324,175,0,0,51,60,42,100,May,2021,
West,249,145,104,44,127,70,8,119,130,0,0,62,93,31,141,May,2021,
Dublin,4367,2542,1825,571,2616,1107,73,2097,2316,72,0,1275,1822,728,2771,May,2019,
Mid-East,294,178,116,30,177,80,7,177,110,3,4,56,85,27,135,May,2019,
Midlands,105,43,62,24,55,23,3,67,38,0,0,20,29,11,54,May,2019,
Mid-West,341,224,117,52,188,95,6,116,186,39,0,79,104,54,147,May,2019,
North-East,176,115,61,24,99,39,14,104,71,1,0,15,20,10,36,May,2019,
North-West,50,36,14,7,29,12,2,12,25,12,1,7,12,2,24,May,2019,
South-East,295,194,101,58,151,79,7,85,191,4,15,36,50,22,64,May,2019,
South-West,552,322,230,74,332,131,15,350,207,0,0,132,183,81,318,May,2019,
West,324,190,134,39,180,94,11,209,108,0,7,80,107,53,200,May,2019,
Dublin,4356,2529,1827,572,2600,1112,72,2157,2275,68,0,1249,1784,714,2722,June,2019,
